customer_id,customer_fname,customer_lname,customer_revenue,revenue_per_customer
10096,Laura,Case,"",0.0
10351,Teresa,Gray,"",0.0
10436,Eric,King,719.88,719.88
1090,Katherine,Massey,"",0.0
11078,Donna,Hoover,"",0.0
11332,Denise,Smith,525.88,525.88
11563,Samuel,Smith,"",0.0
1159,Mary,Morrison,"",0.0
11722,Donna,Vance,"",0.0
11888,Frank,Barrett,799.88,799.88
12394,Samantha,Sims,589.94,589.94
1436,Sarah,Smith,"",0.0
1512,Mary,Rowe,849.95,849.95
1572,Brandon,Smith,"",0.0
2069,Alice,Ellison,"",0.0
2088,Frank,Rhodes,"",0.0
2136,Catherine,Turner,"",0.0
2162,Margaret,Smith,"",0.0
2294,Jacob,Smith,"",0.0
2904,Lisa,Walton,"",0.0
296,Mary,Mullen,"",0.0
3210,Richard,Welch,129.99,129.99
3414,Ruth,Smith,"",0.0
3606,Joan,Strickland,"",0.0
3959,Laura,Shields,"",0.0
4032,Jennifer,Smith,"",0.0
467,James,Smith,"",0.0
4821,Brittany,Rangel,"",0.0
4937,Mary,Rogers,629.95,629.95
5325,Diana,Smith,195.93,195.93
5645,Mary,Villegas,"",0.0
5925,Megan,Bennett,989.9300000000001,989.9300000000001
6194,Robert,Holloway,"",0.0
6240,Virginia,Elliott,"",0.0
6613,Ashley,Smith,"",0.0
6731,Carol,Smith,99.96,99.96
675,Mary,Mata,"",0.0
691,Mary,Terrell,"",0.0
7252,Mary,Smith,"",0.0
7273,Mary,Smith,"",0.0
7711,Mary,Powell,"",0.0
7762,Mary,Roberson,"",0.0
829,Mary,Smith,"",0.0
8304,Mary,Mills,"",0.0
8433,Sharon,Short,"",0.0
9009,Mary,Sanchez,"",0.0
9030,Raymond,Smith,"",0.0
9583,Sarah,Smith,"",0.0
9586,Mary,Olson,"",0.0
9993,Mary,Scott,"",0.0
10272,Jonathan,Molina,"",0.0
10309,Robert,Vasquez,"",0.0
10338,Mary,Padilla,"",0.0
10603,Mary,Hendricks,"",0.0
11205,Mary,Harris,"",0.0
11236,Mary,Smith,"",0.0
11247,Wayne,Gutierrez,"",0.0
11313,Mary,Smith,599.9,599.9
125,Mary,Gallagher,"",0.0
1372,Shawn,Pace,"",0.0
1394,Amber,Smith,"",0.0
1669,Martha,Wilkinson,"",0.0
2110,Cynthia,Myers,399.98,399.98
2275,Lisa,Smith,"",0.0
2393,Dorothy,Cross,"",0.0
2464,Teresa,Warner,399.93,399.93
2756,Bryan,Simon,"",0.0
3015,Alice,Sherman,"",0.0
3281,Teresa,Werner,699.96,699.96
3368,Mary,Jackson,"",0.0
3441,Emma,Russell,"",0.0
3517,Mary,Russell,"",0.0
3650,Wayne,Smith,439.96000000000004,439.96000000000004
3826,Patricia,Vincent,489.96000000000004,489.96000000000004
3858,Martha,Smith,"",0.0
451,Mary,Baldwin,599.9200000000001,599.9200000000001
4838,Mark,Frank,"",0.0
4894,Nancy,Taylor,"",0.0
4975,Diane,Flores,"",0.0
5023,Mary,Smith,"",0.0
5067,Robert,Glass,"",0.0
5149,Marilyn,Davis,"",0.0
5523,Mary,Krueger,"",0.0
5613,Michael,Smith,"",0.0
5657,Mary,James,"",0.0
6248,Ronald,Hanson,211.96,211.96
6366,John,Stout,"",0.0
6558,Ethan,Smith,"",0.0
6797,Mary,Thomas,"",0.0
7328,Mary,Smith,"",0.0
7362,Nicholas,Smith,887.8700000000001,887.8700000000001
7650,Mary,Smith,599.96,599.96
7655,Mary,Smith,"",0.0
7743,Melissa,Smith,1039.83,1039.83
7994,Ralph,Smith,"",0.0
800,Mary,Smith,"",0.0
8092,Mary,Smith,"",0.0
8306,Sarah,Walters,"",0.0
8386,Mary,Smith,"",0.0
853,Mary,Larson,"",0.0
8965,Peter,Smith,"",0.0
9003,Judy,Duran,"",0.0
9032,Lauren,Munoz,429.94,429.94
9308,Deborah,Smith,"",0.0
9407,Jason,Washington,"",0.0
944,Stephanie,Smith,"",0.0
9569,Mary,Smith,559.9300000000001,559.9300000000001
9630,Mary,Carrillo,"",0.0
9830,Mary,Frey,"",0.0
9975,Mary,Hansen,"",0.0
10114,Gregory,Smith,"",0.0
10133,Alexander,Smith,799.8900000000001,799.8900000000001
10250,Martha,Smith,"",0.0
10730,Rachel,Blackburn,"",0.0
10784,Raymond,Reed,"",0.0
10801,Ryan,Larson,"",0.0
11106,Mary,Navarro,1489.8500000000001,1489.8500000000001
11251,Pamela,Smith,"",0.0
11351,Mary,Smith,"",0.0
11667,Mary,Brooks,"",0.0
11687,Mary,Wall,"",0.0
11822,Christian,Smith,"",0.0
12003,Mary,Smith,"",0.0
12104,Joseph,Neal,1009.82,1009.82
12164,Robert,Hawkins,"",0.0
12204,Willie,Cunningham,"",0.0
1241,Jeffrey,Smith,"",0.0
1265,Albert,Jones,"",0.0
1280,Mary,Adams,"",0.0
1361,Jacob,Harris,"",0.0
1746,Gregory,Blair,"",0.0
1808,Albert,Ellison,"",0.0
1870,Tiffany,Greer,"",0.0
2530,Walter,Smith,"",0.0
2696,Ashley,Smith,449.94,449.94
2700,Ruth,Le,"",0.0
2725,Mary,Hood,"",0.0
2898,Christine,Smith,"",0.0
2917,Kyle,Smith,"",0.0
3200,Mary,Barron,"",0.0
3526,Kevin,Durham,"",0.0
3836,Nicholas,Fleming,"",0.0
3838,Joseph,Jackson,199.99,199.99
3949,Mary,Lee,"",0.0
4127,Christopher,Smith,"",0.0
4850,Mary,Smith,"",0.0
5044,Linda,Sanchez,"",0.0
5181,Mary,Smith,"",0.0
5316,Mary,Harris,"",0.0
5757,Zachary,Smith,"",0.0
5913,Cynthia,Daniel,"",0.0
6081,Lauren,Bennett,"",0.0
666,Amanda,Simpson,"",0.0
6848,Larry,Maddox,"",0.0
6900,Judith,Pham,"",0.0
6903,Alexander,Moore,"",0.0
7056,Mary,Roman,"",0.0
7208,Donald,Smith,"",0.0
7248,Marilyn,Diaz,"",0.0
7263,Samuel,Smith,"",0.0
7301,Mary,Smith,"",0.0
7378,Mary,Medina,"",0.0
7418,Elizabeth,Smith,"",0.0
7487,Angela,Smith,"",0.0
7784,Mary,Smith,"",0.0
8621,Cynthia,Davila,"",0.0
870,Linda,Delacruz,"",0.0
8763,Pamela,Williams,199.99,199.99
8832,Victoria,Reyes,"",0.0
919,Mary,Mitchell,"",0.0
926,Ashley,Browning,"",0.0
10110,Beverly,Smith,"",0.0
10296,Mary,Ramos,399.98,399.98
10616,Mary,Little,"",0.0
10831,Larry,Smith,"",0.0
10993,Mary,Smith,"",0.0
11177,Mary,Cowan,"",0.0
11711,Mary,Park,1229.9,1229.9
11878,Mary,Smith,"",0.0
11902,Catherine,Tucker,"",0.0
12067,Mary,Contreras,"",0.0
12223,Brian,Baker,"",0.0
124,Judy,Smith,"",0.0
1528,Anthony,Smith,1399.8700000000001,1399.8700000000001
1903,Mary,Sullivan,"",0.0
1953,Maria,Ortiz,"",0.0
2034,Ruth,Smith,"",0.0
2550,Christian,Castillo,1129.9,1129.9
2888,Lauren,Ibarra,"",0.0
2895,Dylan,Butler,459.89,459.89
2930,Ronald,Petty,"",0.0
3121,Mary,Murphy,1009.8900000000001,1009.8900000000001
3249,Mary,Mcgrath,"",0.0
3266,Mary,Salinas,593.87,593.87
3312,Jane,Smith,"",0.0
3652,Ann,Esparza,"",0.0
4236,Sandra,Monroe,899.9300000000001,899.9300000000001
4249,Mary,Butler,499.94,499.94
4276,Jacqueline,Page,129.99,129.99
447,Mary,Nelson,"",0.0
4583,Terry,Smith,"",0.0
4665,Jessica,York,"",0.0
4988,Michelle,Pierce,"",0.0
5057,Angela,Lee,659.89,659.89
5082,Susan,Smith,"",0.0
51,Jessica,Smith,59.99,59.99
5234,Shirley,Humphrey,619.9200000000001,619.9200000000001
5297,Mary,Smith,"",0.0
5320,Mary,Garza,90.0,90.0
5408,Rebecca,Zamora,"",0.0
591,Rose,Smith,"",0.0
6106,Paul,Moore,1289.89,1289.89
6143,Deborah,Barber,"",0.0
6227,David,Weber,"",0.0
6252,Kevin,Smith,"",0.0
6380,Mary,Rivers,"",0.0
6732,Mary,Campbell,"",0.0
6768,Catherine,Smith,"",0.0
6820,Kenneth,Smith,"",0.0
6850,Russell,Taylor,"",0.0
7,Melissa,Wilcox,"",0.0
7054,Maria,Arnold,"",0.0
7249,Mary,Luna,"",0.0
7616,Mary,Mason,"",0.0
8145,Debra,Smith,"",0.0
8153,Mary,Frye,"",0.0
8258,Thomas,Stokes,"",0.0
8409,Mary,Fernandez,"",0.0
8583,Amber,Clay,"",0.0
9196,Austin,Smith,"",0.0
9344,Kelly,Smith,"",0.0
9544,Hannah,Long,"",0.0
9622,Roy,Smith,"",0.0
9835,Daniel,Gomez,"",0.0
9858,Mary,Smith,274.93,274.93
10195,Mary,Tran,"",0.0
10417,Kyle,Smith,"",0.0
10481,Nicole,Baker,"",0.0
10668,Mary,Smith,"",0.0
10805,Mary,Smith,"",0.0
10872,Amber,Adams,"",0.0
11002,Alexander,Smith,"",0.0
11137,Mary,Price,"",0.0
11218,Louis,Novak,"",0.0
11698,Julie,Tran,"",0.0
11795,Eugene,Lewis,"",0.0
11847,Mary,Pierce,"",0.0
